semester,day,room,building,teacher,hours,course_name,school_and_faculty,course_type,course_number
ב',ד',205 ,טרובוביץ משפ,"ד""ר מוניקנדם יפעת חיה",2000 - 1800,היסודות ההיסטוריים של דיני משפחה ומעמד אישי,משפטים ,פרוסמינר,1411-7304-01
א',ד',206א,מכסיקו,"ד""ר פישהוף גיל",1400 - 1200,"האמנות הרומנסקית באירופה: לידה, תחייה והמצאה",אמנויות/תולדות האמנות ,שיעור,0821-6539-01
ב',א',254 ,רקנאטי,"ד""ר פרידמן יאיר",2130 - 1800,קליניקה עסקית- ייעוץ אסטרטגי לעסקים קטנים ובינוניים,ניהול/ניהול ,פרוייקט,1221-4569-01
א',ד',120 ,עבודה סוציאלית,גב' זקס אילנה,1200 - 1000,התבוננות ביקורתית רפלקטיבית על הפרקטיקה בעבודה סוציאלית,עבודה סוציאלית ,שיעור,1110-4523-04
ב',א',103 ,טרובוביץ משפ,"ד""ר חורי אמיר",1600 - 1400,קניין רוחני,משפטים ,פרוסמינר,1411-7305-01
א',ב',211 ,מכסיקו,"ד""ר קלורמן-עראקי נעמה",1400 - 1200,צילום ואקטיביזם חברתי,אמנויות/תולדות האמנות ,שיעור,0821-6616-01
"א'
א'","א'
ב'","406 
406 ","רקנאטי
רקנאטי","ד""ר איוניר מקמל טלי","1400 - 1100
1000 - 0830",יסודות המתמטיקה לניהול,ניהול/ניהול ,"שיעור
שיעור",1221-5111-01
א',ב',055 ,עבודה סוציאלית,"ד""ר שבאר-שפירא פאולה דניאלה",1200 - 1000,התבוננות ביקורתית רפלקטיבית על הפרקטיקה בעבודה סוציאלית,עבודה סוציאלית ,שיעור,1110-4523-05
ב',ב',202 ,טרובוביץ משפ,פרופ לדרמן אליעזר,1600 - 1400,הרחבת מעגל החבות בפלילים,משפטים ,פרוסמינר,1411-7306-01
ב',ב',206א,מכסיקו,"ד""ר לוריא חיון עדי מיכל",1400 - 1200,אמנות וסאונד,אמנויות/תולדות האמנות ,שיעור,0821-6694-01
א',ג',409 ,רקנאטי,מר בלייך יונתן,1700 - 1500,יסודות המתמטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5111-02
א',ב',125 ,עבודה סוציאלית,"ד""ר אבן זהב רונית",1200 - 1000,התבוננות ביקורתית רפלקטיבית על הפרקטיקה בעבודה סוציאלית,עבודה סוציאלית ,שיעור,1110-4523-06
"א'
ב'","ה'
ה'","305 
305 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר ליבליך אליאב","1800 - 1600
1600 - 1400",International Humanitarian Law,הנדסה ,"סמינר
סמינר",1411-7307-01
א',ג',    ,None,גב' גל-נור אפרת,1200 - 0800,שיעור במקצועות האמנות - חומרים וטכניקות בציור,אמנויות/תולדות האמנות ,סדנה,0821-6803-01
א',א',254 ,רקנאטי,מר בלייך יונתן,1800 - 1600,יסודות המתמטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5111-03
א',ב',053 ,עבודה סוציאלית,גב' שי שרית,1200 - 1000,התבוננות ביקורתית רפלקטיבית על הפרקטיקה בעבודה סוציאלית,עבודה סוציאלית ,שיעור,1110-4523-07
א',ד',103 ,טרובוביץ משפ,פרופ אברהם רונן,1800 - 1600,ניתוח כלכלי של המשפט - סדנה,משפטים ,סדנה,1411-7308-01
ב',א',117א,מכסיקו,"ד""ר קפיטיקין לב אריה",1400 - 1200,סדנה  באמנות האסלאם במוזיאון,אמנויות/תולדות האמנות ,סדנה,0821-6999-01
"א'
א'","א'
ג'","252 
406 ","רקנאטי
רקנאטי","ד""ר מרגלית תמר","1000 - 0830
1100 - 0830",יסודות המתמטיקה לניהול,ניהול/ניהול ,"שיעור
שיעור",1221-5111-04
א',ב',015 ,עבודה סוציאלית,"ד""ר קורין-לנגר נורה",1600 - 1400,התבוננות ביקורתית רפלקטיבית על הפרקטיקה בעבודה סוציאלית,עבודה סוציאלית ,שיעור,1110-4523-08
א',ג',203 ,טרובוביץ משפ,"ד""ר בר קהן רוי",1800 - 1600,דיני בנקאות,משפטים ,שיעור,1411-7309-30
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",הנחיית תזה,אמנויות/תולדות האמנות ,"הדרכה אי
הדרכה אי",0821-9988-01
א',ד',408 ,רקנאטי,מר בלייך יונתן,1800 - 1600,יסודות המתמטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5111-05
א',ב',128 ,עבודה סוציאלית,"ד""ר חממה ליאת",1400 - 1200,מיומנויות התערבות ישירה עם ילדים,עבודה סוציאלית ,שיעור,1110-4524-01
ב',ו',204 ,טרובוביץ משפ,גב' רוזנברג רובינס רתם,1130 - 1000,תיקון הרשעות שווא בישראל ובעולם,הנדסה ,שיעור,1411-7310-30
א',None,    ,None,  ,None,עבודת גמר,אמנויות/תולדות האמנות ,עבודת גמ,0821-9999-01
א',ה',408 ,רקנאטי,מר בלייך יונתן,1400 - 1200,יסודות המתמטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5111-06
ב',ב',125 ,עבודה סוציאלית,"ד""ר חממה ליאת",1200 - 1000,מיומנויות התערבות ישירה עם ילדים,עבודה סוציאלית ,שיעור,1110-4524-02
ב',ד',    ,None,פרופ דגן חנוך,1800 - 1600,Private Law Theory Workshop,משפטים ,סדנה,1411-7312-01
ב',ב',001מ,בוכמן-מהטה,"ד""ר בלושטיין מרים",1200 - 1000,כתיבה אקדמית הלכה למעשה (ביצוע),אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,שיעור ות,0842-1001-01
"א'
א'","א'
ג'","405 
103 ","רקנאטי
רקנאטי","ד""ר סעד דוד","1800 - 1600
1700 - 1400",יסודות המתמטיקה לניהול,ניהול/ניהול ,"שיעור
שיעור",1221-5111-07
א',ד',055 ,עבודה סוציאלית,"ד""ר ויינברג-קורניק גליה",1000 - 0800,כל אחד והמשפחה שלו -סוגיות בעבודה טיפולית עם ילדים הגדלים במבנים משפחתיים אלטרנט,עבודה סוציאלית ,שיעור,1110-4529-01
ב',ב',202 ,טרובוביץ משפ,"ד""ר לביא שי",2000 - 1800,Law and Economics -  Workshop,משפטים ,סדנה,1411-7315-01
"א'
ב'","None
None","    
    ","None
None",מר רוזנקרנץ עדי,"None
None",מבחן בהאזנה א',אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"בחינה
בחינה",0842-1015-01
א',ד',407 ,רקנאטי,גב' פולק מארין,1800 - 1600,יסודות המתמטיקה לניהול,מדעים מדויקים/ניהול ,תרגיל,1221-5111-08
ב',ד',126 ,עבודה סוציאלית,מר אשמן תמיר,1400 - 1200,טכניקות התערבות בעבודה קבוצתית עם גברים,עבודה סוציאלית ,שיעור,1110-4530-01
ב',ג',103 ,טרובוביץ משפ,פרופ אברהם רונן,1600 - 1400,מדיניות ביטוח,משפטים ,פרוסמינר,1411-7316-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",נגינה בחליל -א,הנדסה/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"שיעור
שיעור",0842-1100-01
א',ד',407 ,רקנאטי,גב' פולק מארין,2000 - 1800,יסודות המתמטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5111-09
ב',ב',125 ,עבודה סוציאלית,"ד""ר שבאר-שפירא פאולה דניאלה",1000 - 0800,טיפול בטראומה מינית,עבודה סוציאלית ,שיעור,1110-4531-01
ב',None,    ,None,"ד""ר קריכלי כץ תמר טובה",None,בתי המשפט בפועל,משפטים ,שיעור,1411-7317-01
"א'
ב'","None
None","    
    ","None
None",פרופ ארנהיים יוסי,"None
None",נגינה בחליל -א,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1100-02
א',ג',253 ,רקנאטי,"ד""ר דימנט מיה",1400 - 1100,מבוא לסטטיסטיקה,ניהול/ניהול ,שיעור,1221-5112-01
א',ב',017 ,עבודה סוציאלית,"ד""ר אלון שרה",1000 - 0800,מודלים יישומיים בטיפול בזקנים ובני משפחתם,עבודה סוציאלית ,שיעור,1110-4532-01
א',ג',305 ,טרובוביץ משפ,פרופ בירנהק מיכאל,1900 - 1600,Information Technology Law,משפטים ,סמינר,1411-7318-01
"א'
ב'","None
None","    
    ","None
None",פרופ ארנהיים יוסי,"None
None",נגינה בחליל -א,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1100-03
א',ב',301 ,כיתות דן דוד,מר רייך ניר,1645 - 1600,מבוא לסטטיסטיקה,ניהול/ניהול ,תרגיל,1221-5112-02
א',ב',127 ,עבודה סוציאלית,מר שרוף אברהם,1600 - 1400,פסיכופתולוגיה התפתחותית,עבודה סוציאלית ,שיעור,1110-4533-01
"א'
ב'","א'
א'","303 
303 ","טרובוביץ משפ
טרובוביץ משפ",גב' ניר בנימיני עדי,"1600 - 1400
1600 - 1400",זכויות אדם,ניהול ,"שיעור
שיעור",1411-7319-01
"א'
ב'","None
None","    
    ","None
None",פרופ ארנהיים יוסי,"None
None",נגינה בחליל -א,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1100-04
א',ב',308 ,טרובוביץ משפ,"ד""ר חוטובלי ראובן",1700 - 1400,מבוא לסטטיסטיקה,ניהול/ניהול ,שיעור,1221-5112-03
ב',ב',128 ,עבודה סוציאלית,"ד""ר הררי מירב",1800 - 1600,כוחה המרפא של האמפתיה: יישומי פסיכולוגיית העצמי במקצוע העבודה הסוציאלית,עבודה סוציאלית ,שיעור,1110-4534-01
"א'
ב'","ד'
ד'","    
    ","None
None","ד""ר ווזנר שי עקביא","1800 - 1600
1800 - 1600","משפט עברי, הלכה ודת במדינת ישראל",משפטים ,"סמינר
סמינר",1411-7320-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",נגינה באבוב - א',אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"שיעור
שיעור",0842-1110-01
א',ב',308 ,טרובוביץ משפ,מר רייך ניר,1745 - 1700,מבוא לסטטיסטיקה,משפטים/ניהול ,תרגיל,1221-5112-04
ב',ב',125 ,עבודה סוציאלית,  ,1800 - 1600,תיאוריות ביקורתיות לעבודה סוציאלית,עבודה סוציאלית ,שיעור,1110-4535-01
א',ה',    ,None,פרופ הקר דרור דפנה,1200 - 1000,סדנה: בין אונטולוגיה למתודולוגיה במדעי הרוח ובמשפטים,משפטים ,שיעור,1411-7321-01
"א'
ב'","None
None","    
    ","None
None",מר כרמל דודו,"None
None",נגינה באבוב - א',אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1110-02
א',ג',407 ,רקנאטי,גב' חלוזין נורית,1330 - 1100,מבוא לסטטיסטיקה,ניהול/ניהול ,שיעור,1221-5112-05
ב',ד',118 ,עבודה סוציאלית,גב' טבת טובה,1000 - 0800,ארגז הכלים היצירתי,עבודה סוציאלית ,שיעור,1110-4536-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None","חבר/ת מערכת כתב העת ""דיני ישראל""",משפטים ,"עבודה מע
עבודה מע",1411-7322-01
"א'
ב'","None
None","    
    ","None
None",מר כרמל דודו,"None
None",נגינה באבוב - א',אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1110-03
א',ב',301 ,כיתות דן דוד,מר רייך ניר,1545 - 1500,מבוא לסטטיסטיקה,משפטים/ניהול ,תרגיל,1221-5112-06
ב',ד',125 ,עבודה סוציאלית,מר ורשביאק אייל,1400 - 1200,עבודה עם הורים - הדרכה ושותפות,עבודה סוציאלית ,שיעור,1110-4537-01
א',None,    ,None,פרופ שוקד נדב,None,"The City, Land Development, and Other Urban Issues in Americ",משפטים ,שיעור,1411-7323-50
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",נגינה בפגוט - א',אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"שיעור
שיעור",0842-1130-01
א',ד',406 ,רקנאטי,מר גלינסון בועז,2200 - 1800,סטטיסטיקה לניהול,ניהול/ניהול ,שיעור,1221-5114-01
ב',ד',150 ,עבודה סוציאלית,"ד""ר השש יאלי",1200 - 1000,מה העדה שלך? מזרחיות ועבודה סוציאלית,עבודה סוציאלית ,שיעור,1110-4538-01
א',ד',303 ,טרובוביץ משפ,פרופ פישר טליה,1800 - 1600,המדינה והשוק,משפטים ,שיעור,1411-7332-01
"א'
ב'","None
None","    
    ","None
None",מר פאז מאוריציו,"None
None",נגינה בפגוט - א',אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1130-02
א',ג',253 ,רקנאטי,גב' רם הדר,1000 - 0830,סטטיסטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5114-02
ב',ד',122 ,עבודה סוציאלית,"ד""ר פלדמן גיא",1400 - 1200,שינוי חברתי בעידן ניאו ליברלי,עבודה סוציאלית ,שיעור,1110-4540-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",עבודת מחקר באנגלית,הנדסה ,"פרוייקט
פרוייקט",1411-7333-01
"א'
ב'","None
None","    
    ","None
None",מר פלאי ריצ'רד,"None
None",נגינה בפגוט - א',אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1130-03
ב',ב',405 ,רקנאטי,"ד""ר דימנט מיה",1400 - 1000,סטטיסטיקה לניהול,ניהול/ניהול ,שיעור,1221-5114-03
ב',ד',055 ,עבודה סוציאלית,"ד""ר לוין ליה",1600 - 1400,פרקטיקת מדיניות,עבודה סוציאלית ,שיעור,1110-4541-01
"א'
א'","א'
ד'","204 
204 ","טרובוביץ משפ
טרובוביץ משפ",פרופ דגן חנוך,"1200 - 1000
1200 - 1000",דיני חוזים,משפטים ,"שיעור
שיעור",1411-9101-01
"א'
ב'","None
None","    
    ","None
None",מר מזעקי דניאל,"None
None",נגינה בפגוט - א',אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1130-04
ב',ג',254 ,רקנאטי,גב' רם הדר,1000 - 0800,סטטיסטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5114-04
א',ב',118 ,עבודה סוציאלית,"ד""ר קני פז סיגל",2000 - 1800,טיפול הורה-ילד במצבי טראומה,עבודה סוציאלית ,שיעור,1110-4542-01
"א'
א'","א'
ד'","203 
203 ","טרובוביץ משפ
טרובוביץ משפ",פרופ מאוטנר מנחם,"1200 - 1000
1200 - 1000",דיני חוזים,משפטים ,"שיעור
שיעור",1411-9101-02
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",נגינה בקרן,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"שיעור
שיעור",0842-1140-01
ב',ג',254 ,רקנאטי,גב' רם הדר,1200 - 1000,סטטיסטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5114-05
ב',ב',055 ,עבודה סוציאלית,פרופ ליכטנטריט רונית,1400 - 1200,מי קובע מה ראוי? קונסטרוקטיביזם ועבודה סוציאלית,עבודה סוציאלית ,שיעור,1110-4543-01
"א'
א'","א'
ד'","206 
206 ","טרובוביץ משפ
טרובוביץ משפ",פרופ קרייטנר רועי,"1200 - 1000
1200 - 1000",דיני חוזים,משפטים ,"שיעור
שיעור",1411-9101-03
"א'
ב'","None
None","    
    ","None
None",מר עבאדי יואל,"None
None",נגינה בקרן,10/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1140-02
ב',ג',405 ,רקנאטי,גב' חלוזין נורית,1200 - 0800,סטטיסטיקה לניהול,מדעים מדויקים/ניהול ,שיעור,1221-5114-06
ב',ב',122 ,עבודה סוציאלית,גב' שי שרית,1400 - 1200,עבודה קבוצתית עם נשים (התנסות),עבודה סוציאלית ,שיעור,1110-4568-01
"א'
א'","א'
ד'","035 
035 ","טרובוביץ משפ
טרובוביץ משפ",פרופ דויטש מיגל,"1400 - 1200
1400 - 1200",דיני חוזים,משפטים ,"שיעור
שיעור",1411-9101-10
"א'
ב'","None
None","    
    ","None
None",מר ניר יחזקאל,"None
None",נגינה בקרן,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1140-03
ב',א',254 ,רקנאטי,גב' רם הדר,1800 - 1600,סטטיסטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5114-07
א',ב',150 ,עבודה סוציאלית,"ד""ר לוי אופיר",1800 - 1600,תקווה וחוסן בראי הטראומה: היבטים תיאורטיים וקליניים,עבודה סוציאלית ,שיעור ות,1110-4590-01
"א'
א'","ב'
ה'","105 
105 ","טרובוביץ משפ
טרובוביץ משפ",פרופ גרוס אייל,"1200 - 1000
1200 - 1000",משפט חוקתי,משפטים ,"שיעור
שיעור",1411-9102-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",נגינה בטרומבון,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"שיעור
שיעור",0842-1160-01
ב',א',280 ,גילמן,גב' רם הדר,2000 - 1800,סטטיסטיקה לניהול,ניהול/ניהול ,תרגיל,1221-5114-08
א',ב',053 ,עבודה סוציאלית,"ד""ר לוי אופיר",2000 - 1800,טיפול ממוקד במצבי פוסט טראומה: יישומים ברמת הפרט והקבוצה,עבודה סוציאלית ,שיעור,1110-4591-01
"א'
א'
א'","א'
א'
ד'","035 
035 
035 ","טרובוביץ משפ
טרובוביץ משפ
טרובוביץ משפ","ד""ר גונטובניק גרשון","1000 - 0800
1200 - 1000
1000 - 0800",משפט חוקתי,משפטים ,"שיעור
שיעור
שיעור",1411-9102-10
"א'
ב'","None
None","    
    ","None
None",מר דייויס מיכה,"None
None",נגינה בטרומבון,מדעי החברה/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1160-02
א',ה',253 ,רקנאטי,"ד""ר פפר אהרונה",1200 - 0930,מודלים שימושיים בחקר ביצועים,הנדסה/ניהול ,שיעור,1221-5116-01
ב',ב',125 ,עבודה סוציאלית,פרופ סולומון זהבה,1400 - 1200,"""מעז יצא מתוק?"" היבטים סלוטוגניים של טראומה",עבודה סוציאלית ,שיעור ות,1110-4592-01
"א'
א'","א'
ד'","105 
105 ","טרובוביץ משפ
טרובוביץ משפ",פרופ חריס רון,"1400 - 1200
1400 - 1200",משפט ישראלי,משפטים ,"שיעור
שיעור",1411-9103-01
"א'
ב'","None
None","    
    ","None
None",מר ארז ניר,"None
None",נגינה בטרומבון,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1160-03
ב',ב',254 ,רקנאטי,"ד""ר בונה ארנון",1400 - 1100,מודלים שימושיים בחקר ביצועים,ניהול/ניהול ,שיעור,1221-5116-03
ב',None,    ,None,פרופ סולומון זהבה,None,גישות בהתערבות בהפרעות פוסט טראומתיות א',עבודה סוציאלית ,שיעור ות,1110-4593-33
"א'
א'","ב'
ה'","035 
035 ","טרובוביץ משפ
טרובוביץ משפ",פרופ שחר יורם,"1400 - 1200
1400 - 1200",משפט ישראלי,משפטים ,"שיעור
שיעור",1411-9103-10
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",נגינה בטובה,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"שיעור
שיעור",0842-1170-01
א',ב',403 ,רקנאטי,מר וולמן יובל,1000 - 0800,מאקרו כלכלה והמשק הישראלי,ניהול/ניהול ,שיעור,1221-5118-01
א',ב',150 ,עבודה סוציאלית,פרופ סולומון זהבה,1400 - 1200,"טראומה, פוסט טראומה וחברה",עבודה סוציאלית ,שיעור,1110-4594-01
"א'
א'","ב'
ה'","105 
105 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר שור דוד","1400 - 1200
1400 - 1200",דיני נזיקין,משפטים ,"שיעור
שיעור",1411-9104-01
"א'
ב'","None
None","    
    ","None
None",מר הרשקו שמואל,"None
None",נגינה בטובה,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1170-02
א',ג',105 ,רקנאטי,מר לשם מיכאל,1700 - 1600,מאקרו כלכלה והמשק הישראלי,ניהול/ניהול ,תרגיל,1221-5118-02
א',ב',214 ,עבודה סוציאלית,פרופ גינזבורג קרני,1200 - 1000,"סדנת מחקר א:'קריאה ביקורתית,בחירת נושא,סקירת ספרות,הצגת מודל",עבודה סוציאלית ,סדנה,1110-4600-20
"א'
א'","ב'
ה'","203 
203 ","טרובוביץ משפ
טרובוביץ משפ",פרופ אברהם רונן,"1200 - 1000
1200 - 1000",דיני נזיקין,משפטים ,"שיעור
שיעור",1411-9104-10
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",נגינה בכלי הקשה,מדעי הרוח/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"שיעור
שיעור",0842-1180-01
ב',ג',002 ,כיתות דן דוד,מר איזדורפר עדו משה,2000 - 1800,מאקרו כלכלה והמשק הישראלי,ניהול/ניהול ,שיעור,1221-5118-03
א',ב',015 ,עבודה סוציאלית,"ד""ר גבריאל פריד בל",1200 - 1000,"סדנת מחקר א:'קריאה ביקורתית,בחירת נושא,סקירת ספרות,הצגת מודל",עבודה סוציאלית ,סדנה,1110-4600-21
"א'
א'","ב'
ה'","204 
204 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר שור דוד","1200 - 1000
1200 - 1000",דיני נזיקין,משפטים ,"שיעור
שיעור",1411-9104-11
"א'
ב'","None
None","    
    ","None
None",מר בור אלון,"None
None",נגינה בכלי הקשה,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1180-02
א',ב',020 ,אודיטו.הנדסה,מר אדר רם מיכאל,1100 - 0900,השלמה מתמטית לפיזיקה,הנדסה/תואר ראשון - קורסי שירות ,שיעור,0509-1117-01
ב',ד',304 ,רקנאטי,מר לשם מיכאל,1600 - 1500,מאקרו כלכלה והמשק הישראלי,ניהול/ניהול ,תרגיל,1221-5118-04
"א'
א'","ב'
ב'","219 
    ","עבודה סוציאלית
None",פרופ ליכטנטריט רונית,"1200 - 1000
1200 - 1000","סדנת מחקר א:'קריאה ביקורתית,בחירת נושא,סקירת ספרות,הצגת מודל",עבודה סוציאלית ,"סדנה
סדנה",1110-4600-22
"א'
א'","ב'
ה'","206 
206 ","טרובוביץ משפ
טרובוביץ משפ",פרופ הראל אלון,"1200 - 1000
1200 - 1000",דיני נזיקין,05 ,"שיעור
שיעור",1411-9104-12
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",נגינה בכלי הקשה,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1180-03
א',ה',118 ,ולפסון הנדסה,מר קרן ניב,1200 - 1000,השלמה מתמטית לפיזיקה,הנדסה/תואר ראשון - קורסי שירות ,תרגיל,0509-1117-02
ב',ד',404 ,רקנאטי,מר לשם מיכאל,1900 - 1800,מאקרו כלכלה והמשק הישראלי,ניהול/ניהול ,תרגיל,1221-5118-05
א',ב',250 ,עבודה סוציאלית,פרופ סויה רבקה,1400 - 1200,"סדנת מחקר א:'קריאה ביקורתית,בחירת נושא,סקירת ספרות,הצגת מודל",עבודה סוציאלית ,סדנה,1110-4600-23
א',ד',105 ,טרובוביץ משפ,פרופ ברונר זהבי זוזה,1000 - 0800,"פוליטיקה, כלכלה, חברה",משפטים ,שיעור,1411-9105-01
"א'
ב'","ג'
ג'","041 
041 ","בוכמן-מהטה
בוכמן-מהטה",מר סלטקין מיכאל,"1600 - 1400
1600 - 1400",סדנת כלי נשיפה ממתכת,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"סדנה
סדנה",0842-1187-01
א',ה',120 ,ולפסון הנדסה,מר קרן ניב,1500 - 1300,השלמה מתמטית לפיזיקה,הנדסה/תואר ראשון - קורסי שירות ,תרגיל,0509-1117-03
ב',ד',304 ,רקנאטי,מר איזדורפר עדו משה,2100 - 1700,כלכלת עסקים א',ניהול/ניהול ,שיעור,1221-5119-01
א',ב',016 ,עבודה סוציאלית,"ד""ר שילה גיא",1200 - 1000,"סדנת מחקר א:'קריאה ביקורתית,בחירת נושא,סקירת ספרות,הצגת מודל",עבודה סוציאלית ,סדנה,1110-4600-24
א',ד',035 ,טרובוביץ משפ,פרופ בנבג'י יצחק,1200 - 1000,"פוליטיקה, כלכלה, חברה",משפטים ,שיעור,1411-9105-10
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",נגינה בפסנתר,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"שיעור
שיעור",0842-1200-01
א',א',101 ,לימודי הסביבה,מר כהן אביעד,1200 - 1000,השלמה מתמטית לפיזיקה,הנדסה/תואר ראשון - קורסי שירות ,שיעור,0509-1117-04
ב',ה',280 ,גילמן,מר לוזון פבריס יצחק,1800 - 1600,כלכלת עסקים א',ניהול/ניהול ,תרגיל,1221-5119-02
א',ב',017 ,עבודה סוציאלית,"ד""ר סולימני אעידן יפית",1200 - 1000,"סדנת מחקר א:'קריאה ביקורתית,בחירת נושא,סקירת ספרות,הצגת מודל",עבודה סוציאלית ,סדנה,1110-4600-30
א',ב',202 ,טרובוביץ משפ,גב' בלאו עינבל,1000 - 0800,מיומנויות כתיבה,משפטים ,שיעור,1411-9106-01
"א'
ב'","None
None","    
    ","None
None",פרופ קרסובסקי עמנואל,"None
None",נגינה בפסנתר,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1200-02
א',ב',108 ,ולפסון הנדסה,מר כהן אביעד,1500 - 1300,השלמה מתמטית לפיזיקה,הנדסה/תואר ראשון - קורסי שירות ,תרגיל,0509-1117-05
ב',ה',405 ,רקנאטי,גב' עופר גליה,2000 - 1600,כלכלת עסקים א',ניהול/ניהול ,שיעור,1221-5119-03
א',ב',257 ,עבודה סוציאלית,פרופ סולומון זהבה,1200 - 1000,"סדנת מחקר א:'קריאה ביקורתית,בחירת נושא,סקירת ספרות,הצגת מודל",עבודה סוציאלית ,סדנה,1110-4600-33
א',ב',202 ,טרובוביץ משפ,גב' בלאו עינבל,1000 - 0800,מיומנויות כתיבה,משפטים ,שיעור,1411-9106-02
"א'
ב'","None
None","    
    ","None
None",פרופ לב תומר,"None
None",נגינה בפסנתר,אמנויות/ביה''ס למוזיקה-המגמה לביצוע מוסיקלי ,"הדרכה אי
הדרכה אי",0842-1200-03
"א'
א'","א'
ג'","110 
110 ","נפתלי
נפתלי","ד""ר וייסמן דארין","1100 - 0900
1600 - 1400",מבוא לכלכלה ללא כלכלנים,מדעי החברה/מדעי החברה - כללי ,"שיעור ות
שיעור ות",1009-1102-01
א',ב',118 ,ולפסון הנדסה,מר זיליג הס מאיר,1200 - 1000,השלמה מתמטית לפיזיקה,הנדסה/תואר ראשון - קורסי שירות ,תרגיל,0509-1117-06
ב',א',407 ,רקנאטי,מר ברכה דולב,1800 - 1600,כלכלת עסקים א',ניהול/ניהול ,תרגיל,1221-5119-04
ב',ב',257 ,עבודה סוציאלית,פרופ גינזבורג קרני,1200 - 1000,סדנת מחקר ב:' גיבוש הצעת מחקר ואיסוף נתונים,עבודה סוציאלית ,סדנה,1110-4601-20
א',ב',207 ,טרובוביץ משפ,גב' דיסקין טליה,1000 - 0800,מיומנויות כתיבה,משפטים ,שיעור,1411-9106-03
