building,day,teacher,school,room,semester,faculty,course_type,course_name,course_number,hours
מאירהוף ב.א',ג',מר ברזין איגור,אמנות התאטרון ,315 ,א',אמנויות,עבודה מע,שיטת סטניסלבסקי לבמאים,0811-1362-01,1300 - 1000
מאירהוף ב.א',ג',מר ברזין איגור,אמנות התאטרון ,315 ,ב',אמנויות,עבודה מע,שיטת סטניסלבסקי לבמאים,0811-1362-01,1500 - 1200
מכסיקו,ג',פרופ קינר(קיסינגר) גד,אמנות התאטרון ,117א,ב',אמנויות,עבודה מע,כתיבה,0811-1487-01,1700 - 1400
מאירהוף ב.א',ה',גב' קרמסקי יעל,אמנות התאטרון ,315 ,א',אמנויות,עבודה מע,יסודות הבימוי,0811-1488-01,1500 - 1200
מאירהוף ב.א',א',גב' קרמסקי יעל,אמנות התאטרון ,315 ,ב',אמנויות,עבודה מע,יסודות הבימוי,0811-1488-01,1900 - 1600
מכסיקו,א',"ד""ר בן-שאול דפנה",אמנות התאטרון ,211 ,ב',אמנויות,שיעור,מבט על תפקיד הצופה,0811-1545-01,1200 - 1000
מכסיקו,ב',"ד""ר ליפשיץ יאיר",אמנות התאטרון ,209 ,ב',אמנויות,שיעור,תאוריות וביקורת:גישות תרבותיות-חברתיות,0811-2100-01,1200 - 1000
מכסיקו,א',"ד""ר ליפשיץ יאיר",אמנות התאטרון ,206א,א',אמנויות,שיעור,תולדות הדרמה והתאטרון מהמאה ה-17 ועד איבסן,0811-2136-01,1200 - 1000
מכסיקו,ד',"ד""ר הררי דרור",אמנות התאטרון ,208 ,א',אמנויות,שיעור,מבוא לתיאטרון מודרני,0811-2137-01,1200 - 1000
מכסיקו,ד',"ד""ר בן-שאול דפנה",אמנות התאטרון ,213 ,ב',אמנויות,שיעור,תאוריות וביקורת:תאוריות לינגוויסטיות ומעבר להן,0811-2138-01,1000 - 0800
מכסיקו,ב',"ד""ר ליפשיץ יאיר",אמנות התאטרון ,209 ,א',אמנויות,שיעור,מבוא לתיאטרון היהודי והעברי,0811-2202-01,1400 - 1200
מכסיקו,ג',גב' דיימונד ריבי,אמנות התאטרון ,207א,א',אמנויות,עבודה מע,תנועה וריקוד לשחקנים,0811-2408-01,2000 - 1800
מכסיקו,ה',גב' דיימונד ריבי,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,תנועה וריקוד לשחקנים,0811-2408-01,1400 - 1200
